cluster,leaf_label,AF2_treek100_full,AF2_treek100_top10,AF3_treek100_full,AF3_treek100_top10
ShallowMsa_017,S017,-0.08928428890905585,0.1925466719359008,-0.0784685941907417,0.1322494953854465
ShallowMsa_041,S041,-0.09419100853130291,0.1810499684473014,-0.08206010535757,0.14233867745113096
ShallowMsa_067,S067,-0.076073603050392,0.0226663796741197,-0.0604592626893327,0.1618453373838985
ShallowMsa_009,S009,-0.00590882137401005,-0.2591154091115771,-0.0031074054337887,-0.39176274092948016
ShallowMsa_089,S089,0.00102753803486055,-0.2899575614579449,-0.0121835890971701,-0.3840924923061544
ShallowMsa_081,S081,0.0198538998414133,-0.2771698758877794,0.0054298331524587,-0.3753960787803164
ShallowMsa_042,S042,0.00081150455004085,-0.2901260404667061,0.0040552499814056,-0.3890964295336237
ShallowMsa_060,S060,0.01762243926967235,0.2923293549716484,0.0241196951170997,0.2498075569001397
ShallowMsa_080,S080,-0.045468431072243395,-0.0246189311148657,0.0025659698267102,-0.0544517657081747
ShallowMsa_093,S093,0.00047559782762185,0.0,0.0183336423285604,-0.4072390370516273
ShallowMsa_004,S004,0.01225744662858185,0.2381124011663614,-0.0013754427310085,0.2040302860262814
ShallowMsa_018,S018,-0.05416764228223805,-0.178663901805281,0.0464620686094564,-0.1592443417700238
ShallowMsa_024,S024,-0.010331962864868701,-0.1472571697243269,-0.0389436897008707,-0.1776122179362421
ShallowMsa_092,S092,0.01958878260455845,0.3050159770094279,-0.0180936539693171,0.2106272986393427
ShallowMsa_084,S084,-0.01044417747049245,0.2645798738013277,-0.0255031783933545,-0.0041929120614866
ShallowMsa_063,S063,-0.0006927034637959999,-0.227254614617917,-0.0267921685865319,-0.1748311062018254
ShallowMsa_016,S016,0.02215634126241285,0.2007112053817189,0.0056433642372534,0.22515188254796215
ShallowMsa_007,S007,0.00420819456436135,-0.2706582337425092,-0.0020984842606111,-0.3069187840219573
ShallowMsa_033,S033,0.0157941276296849,0.0583610680271495,0.01273533849649,0.0530156860049512
ShallowMsa_038,S038,-0.00129116077087865,-0.1960789684438546,-0.0109727828795941,-0.3397443086191552
ShallowMsa_032,S032,0.02228480034309735,-0.264230124032114,-0.00249007721395,-0.4631411334709837
ShallowMsa_000,S000,0.0118971803166321,-0.2831312610588787,0.0042937285990455,0.1991321433920745
ShallowMsa_068,S068,0.0138701313703248,0.0539709351573814,0.0055637348775666,0.0426189922143349
ShallowMsa_065,S065,-0.17049695134387854,-0.0418493040398186,-0.0049082860392541,-0.1310291422557915
ShallowMsa_051,S051,0.03035953151457395,0.1907552105308631,0.0143272304827448,0.208473835585828
ShallowMsa_079,S079,-0.0137867602097883,-0.2603214691226972,-0.0213577603751256,-0.1962044741617361
ShallowMsa_072,S072,-0.0234033781176222,-0.2480782707961886,-0.0010153952205306,-0.4727305717577228
ShallowMsa_097,S097,-0.0202816602443181,0.162680578183454,0.0,0.0478583742421661
ShallowMsa_014,S014,0.0073328268556602,-0.0215283122534218,0.0087041818479663,0.2208536107778376
ShallowMsa_094,S094,-0.0016956848661014,0.2318495197607282,0.0208991995435955,0.2403827477006164
ShallowMsa_028,S028,0.024147022579459,0.2006019812702022,0.0269061955671011,0.2343800708763299
ShallowMsa_020,S020,0.00606527570441685,0.245357757746932,0.0101278928458892,0.2095601225148982
ShallowMsa_074,S074,0.0108014222895734,0.0803428636990301,0.0229560298511921,0.0232632971661293
ShallowMsa_073,S073,0.0092957217732007,0.2406178817369127,0.0017816505886139,0.2145155892236139
ShallowMsa_061,S061,0.009832534000056,-0.0133530837755052,0.0088586211649916,0.0049849900742302
ShallowMsa_023,S023,0.05771394597810375,0.2331726802828994,-0.0030817350698514,0.2183196751785758
ShallowMsa_091,S091,0.00590378866798035,-0.0682324964541586,0.0111578906313536,-0.117569212689129
ShallowMsa_088,S088,0.0230907390146281,-0.0709387267783027,0.0021169932209303,-0.0524593229400617
ShallowMsa_098,S098,-0.1258110552095691,-0.1041194802115887,0.0248217314177107,-0.03562638001876
ShallowMsa_077,S077,-0.0099451525439324,-0.3936489570605503,-0.0106287078540516,-0.4244012113313285
ShallowMsa_035,S035,-0.053858342315076496,0.0136629788260951,-0.0385541890331462,-0.1564426668817283
ShallowMsa_048,S048,-0.04013377510369155,-0.2616421357007708,-0.0283295370826806,-0.4314982604022301
ShallowMsa_070,S070,-0.25088440282435454,-0.2902347284768232,-0.0363001888950912,-0.5037621646360845
ShallowMsa_054,S054,0.0093292845473898,-0.1972742227987692,-0.0134994630227249,-0.1074123216655704
ShallowMsa_003,S003,-0.01707149104354655,-0.2236437053801911,-0.0574328964082128,-0.1605608668813844
ShallowMsa_029,S029,-0.053314543147537904,-0.3009425121698033,-0.1680610924500623,-0.4173564148795743
ShallowMsa_030,S030,-0.0218810550932969,-0.2595562959722717,-0.0397983281621955,-0.4927339949486189
ShallowMsa_019,S019,-0.00405771466044005,-0.358697265481477,-0.0231824760480948,-0.4868982541619759
ShallowMsa_039,S039,-0.044506487612452,-0.0596235046233699,0.0118611107436175,-0.2107345588531644
ShallowMsa_069,S069,-0.02236209724797325,-0.2488068636906684,-0.0104467396531686,0.2064114428912095
ShallowMsa_086,S086,-0.0339721136844815,-0.2535838450866824,-0.0285247721276953,-0.1661684640810006
ShallowMsa_005,S005,-0.0234060961093542,-0.1937393847938885,-0.0200259149675358,-0.1722159374854742
ShallowMsa_037,S037,-0.00814494728150205,-0.2996800661724496,0.0115022341439585,0.1799303304660931
ShallowMsa_055,S055,-0.01767004715317255,-0.3048436322565935,-0.1216415003102819,-0.3824474569807571
ShallowMsa_078,S078,-0.1096080996129434,-0.1563701177898142,0.0034135739318394,-0.1930781997354178
ShallowMsa_099,S099,0.0123590498739932,0.1668260992560991,0.0182837499551625,0.24418922122723613
ShallowMsa_010,S010,-0.0026725384042011,-0.2823267924576472,-0.0220155657060068,-0.2512534836434302
ShallowMsa_087,S087,-0.03692639983620205,0.1420650855808383,-0.0270744984959296,-0.2278802497966143
ShallowMsa_052,S052,-0.00126765942454365,0.013025263519019,-0.0169244347272848,0.205910115951905
ShallowMsa_006,S006,-0.00034015858692385,-0.2000864237434918,0.0030198899714977,-0.2841639429990819
ShallowMsa_046,S046,-0.0045305973239646,0.1714311118980315,-0.0060897192922747,0.2164200641246033
ShallowMsa_040,S040,0.0518240521263693,0.0156819851853071,0.0190908617489456,-0.0040485975410965
ShallowMsa_083,S083,0.05368884042228795,0.1274381666032226,0.0570399836004315,0.0722657430595147
ShallowMsa_076,S076,0.00727484354522035,0.0877265669449026,-0.0063834704964639,0.1840983740011983
ShallowMsa_090,S090,0.0035204912574450502,0.005699241659524,-0.02118131716444685,0.0523280801470329
