mode,version,cluster,chain,TM_F1,TM_F2,TMdiff,pred_pdb,error,TMdiff_centered
ESMFold2_newmethod,ESMFold2,ShallowMsa_025,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_025.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_026,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_026.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_027,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_027.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_028,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_028.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_029,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_029.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_030,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_030.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_031,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_031.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_032,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_032.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_033,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_033.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_034,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_034.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_035,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_035.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_036,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_036.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_037,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_037.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_038,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_038.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_039,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_039.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_040,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_040.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_041,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_041.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_042,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_042.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_043,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_043.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_044,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_044.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_045,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_045.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_046,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_046.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_047,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_047.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_048,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_048.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_049,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_049.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_050,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_050.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_051,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_051.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_052,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_052.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_053,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_053.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_054,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_054.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_055,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_055.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_056,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_056.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_057,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_057.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_058,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_058.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_059,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_059.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_060,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_060.cif,"Sequence is too short <3!
",
ESMFold2_newmethod,ESMFold2,ShallowMsa_061,5jytA,,,,/sci/labs/orzuk/orzuk/github/MsaCluster/Pipeline/FoldPairs/5jytA_2qkeE/output_esmfold2/ShallowMsa_061.cif,"Sequence is too short <3!
",
