group,n,mean,median,std,q05,q95
FoldSwitchPairs,85,0.7514326088568744,0.7904491424560547,0.17314262449765866,0.4575439095497131,0.9925367474555968
PorterIDP,95,0.46479001734647646,0.4922341043061237,0.13552009224439798,0.25752796226370145,0.6673081732881179
MatchedSingleFold,43,0.5522834345619855,0.6084795545904843,0.148480868897638,0.2838169100042586,0.706002745401357
RandomSingleFold,99,0.6538344284053985,0.6593830502650321,0.0969647327105891,0.5262145603771721,0.7806758748750638
