n_labelled,n_F1c,n_F2c,nn1_obs,nn1_null_mean,p_nn1,fitch_obs,fitch_null_mean,p_fitch,n_perm,mode,delta
24,6,18,0.75,0.60955,0.12858714128587143,5,5.5305,0.38606139386061394,10000,AF2_treek100_full,0.05
80,40,40,0.6,0.49380874999999996,0.05299470052994701,18,26.928,0.0006999300069993001,10000,AF2_treek100_top10,0.05
17,3,14,0.8235294117647058,0.6894470588235294,0.14728527147285272,2,2.9121,0.08339166083391661,10000,AF3_treek100_full,0.05
83,41,42,0.5903614457831325,0.49296626506024094,0.07429257074292571,19,27.9435,0.0010998900109989002,10000,AF3_treek100_top10,0.05
