pair_id,n_clusters,Abar_ols,Abar_spearman,Abar_theil_sen
1dzlA_5keqF,5,0.16666666666666666,0.13333333333333333,0.19999999999999998
1fzpD_2frhA,8,0.5,0.3541666666666667,0.3125
1jfkA_2nxqB,21,0.4761904761904761,0.4603174603174603,0.4206349206349207
1kctA_3t1pA,20,0.4916666666666667,0.2916666666666667,0.2916666666666667
1miqB_1qs8B,15,0.4222222222222222,0.20000000000000004,0.2222222222222222
1mnmD_1mnmC,20,0.4833333333333334,0.4333333333333333,0.5166666666666667
1nocA_1qomB,19,0.5,0.5175438596491228,0.5087719298245613
1nqjB_1nqdA,15,0.6222222222222221,0.5555555555555555,0.5555555555555555
1nrjB_2gedB,18,0.5092592592592592,0.47222222222222215,0.425925925925926
1qb3A_3qy2A,20,0.44166666666666665,0.35833333333333334,0.36666666666666664
1qlnA_1h38D,10,0.6499999999999999,0.31666666666666665,0.31666666666666665
1rk4B_1k0nA,16,0.5208333333333334,0.4583333333333333,0.3958333333333333
1x0gD_1x0gA,21,0.46031746031746024,0.4761904761904761,0.4444444444444445
1xjuB_1xjtA,18,0.4444444444444444,0.4166666666666666,0.4444444444444445
1xtgB_3j97M,20,0.39999999999999997,0.35000000000000003,0.3666666666666667
1zk9A_3jv6A,20,0.6749999999999999,0.4583333333333333,0.5666666666666667
2bzyB_2lqwA,4,0.8333333333333334,0.8333333333333334,1.0
2c1vB_2c1uC,18,0.5925925925925927,0.5185185185185185,0.5370370370370371
2h44A_1rkpA,20,0.45,0.24166666666666667,0.2333333333333333
2jmrA_4j3oF,20,0.48333333333333334,0.5416666666666666,0.55
2k42A_1ceeB,20,0.55,0.4666666666666666,0.5
2kkwA_2n0aD,3,0.5,0.3333333333333333,0.3333333333333333
2lepA_4hddA,20,0.5583333333333332,0.5333333333333333,0.55
2lv1A_6lniA,3,0.5,0.16666666666666666,0.38888888888888884
2mwfA_2nntA,21,0.5476190476190476,0.38888888888888884,0.3412698412698412
2n54B_2hdmA,21,0.6904761904761906,0.611111111111111,0.6507936507936508
2namA_1uxmK,21,0.5555555555555555,0.611111111111111,0.5476190476190476
2p3vD_2p3vA,19,0.49999999999999994,0.5,0.46491228070175433
2qqjA_4qdsA,18,0.4814814814814814,0.4537037037037037,0.4351851851851852
2uy7D_5fluE,21,0.4920634920634921,0.38888888888888884,0.3650793650793651
2vfxL_3gmhL,20,0.46666666666666673,0.49166666666666664,0.5333333333333333
2z9oB_1repC,16,0.4479166666666667,0.5104166666666666,0.5625
3g0hA_3ewsB,18,0.4166666666666667,0.19444444444444442,0.2037037037037037
3hdfA_3hdeA,21,0.5,0.5079365079365079,0.5238095238095238
3j7vG_3j7wB,5,0.43333333333333335,0.3333333333333333,0.39999999999999997
3kdsG_2ce7C,19,0.5526315789473684,0.5087719298245613,0.4824561403508772
3l5nB_2a73B,14,0.5,0.3214285714285714,0.3333333333333333
3l9qB_4rr2D,14,0.6190476190476191,0.6666666666666666,0.6666666666666666
3lowA_3m1bF,20,0.525,0.6083333333333333,0.5666666666666667
3lqcA_1xntA,11,0.6363636363636364,0.5454545454545455,0.5606060606060607
3m7pA_3ejhA,7,0.373015873015873,0.32539682539682535,0.35714285714285715
3meeA_4b3oB,10,0.46666666666666656,0.21666666666666665,0.21666666666666665
3r9jC_2kxoA,20,0.5916666666666667,0.35000000000000003,0.375
3v0tA_3uyiA,20,0.5,0.5333333333333333,0.5166666666666667
3ztjE_5hmgA,5,0.43333333333333335,0.7333333333333334,0.3333333333333333
4aalA_4aanA,19,0.4912280701754385,0.4912280701754386,0.5087719298245613
4cmqB_4zt0C,7,0.5,0.2857142857142857,0.26190476190476186
4dxrA_4dxtA,20,0.5249999999999999,0.5416666666666666,0.5666666666666667
4gqcB_4gqcC,21,0.5079365079365079,0.484126984126984,0.4682539682539682
4h2aA_3j9cA,3,0.5,0.16666666666666666,0.27777777777777773
4n9wA_4nc9C,17,0.49999999999999994,0.284313725490196,0.2745098039215686
4o01D_4o0pA,16,0.5625,0.28125,0.3020833333333333
4pyjA_4pyiA,19,0.543859649122807,0.5087719298245613,0.5263157894736842
4q79F_4uv2D,19,0.48245614035087714,0.5087719298245613,0.47368421052631576
4qhhA_4qhfA,10,0.6666666666666666,0.4166666666666666,0.3333333333333333
4rwqB_4rwnA,11,0.5909090909090909,0.5,0.5454545454545455
4xwsD_4y0mJ,20,0.4833333333333334,0.49999999999999994,0.5499999999999999
4ydqB_4twaA,17,0.46078431372549017,0.2647058823529412,0.2352941176470588
4zrbH_4zrbC,21,0.4444444444444444,0.4920634920634921,0.4841269841269842
5bmyA_5b3zA,16,0.5416666666666666,0.3020833333333333,0.2916666666666667
5c1vB_5c1vA,18,0.5370370370370371,0.5,0.5185185185185186
5et5A_3ifaA,20,0.5166666666666667,0.44166666666666665,0.4333333333333333
5f5rB_5f3kA,19,0.48245614035087714,0.4912280701754386,0.46491228070175433
5hk5H_4jphB,12,0.4583333333333333,0.38888888888888884,0.4305555555555555
5jytA_2qkeE,22,0.5606060606060606,0.5151515151515151,0.5454545454545454
5lj3M_3tp2A,6,0.38888888888888884,0.5,0.47222222222222227
5ly6B_5aoeB,4,0.3333333333333333,0.20833333333333334,0.25
6c6sD_2ougC,19,0.48245614035087714,0.4473684210526316,0.43859649122807015
