cluster,leaf,pref_AF2,pref_AF3,pref_Boltz2,pref_ESM,pref_MSAT,pref_CCMpred,pref_DDG,pref_S4PRED
ShallowMsa_084,S84,F2c,Amc,F2c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_085,S85,Amc,F1c,F2c,F1c,Amc,Amc,Amc,F1c
ShallowMsa_086,S86,F2c,Amc,F2c,Amc,Amc,Amc,Amc,F1c
ShallowMsa_087,S87,Amc,Amc,F2c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_088,S88,F2c,Amc,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_089,S89,F2c,F2c,F2c,F2c,Amc,Amc,Amc,Amc
ShallowMsa_090,S90,F2c,Amc,F1c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_091,S91,F2c,F2c,F2c,Amc,Amc,Amc,F2c,F2c
ShallowMsa_092,S92,Amc,F1c,Amc,Amc,Amc,Amc,Amc,F1c
ShallowMsa_093,S93,Amc,Amc,Amc,F1c,Amc,Amc,Amc,F1c
ShallowMsa_094,S94,F2c,Amc,F2c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_095,S95,Amc,Amc,F2c,Amc,Amc,Amc,F1c,Amc
ShallowMsa_096,S96,F2c,F2c,Amc,Amc,Amc,Amc,Amc,Amc
ShallowMsa_097,S97,Amc,F1c,F2c,F1c,Amc,Amc,F1c,F2c
ShallowMsa_098,S98,Amc,Amc,F1c,Amc,Amc,Amc,Amc,Amc
ShallowMsa_099,S99,F2c,Amc,Amc,Amc,Amc,Amc,Amc,F2c
